"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-miR-3911 hsa-mir-3911",18,0,0,0,10,0,0,0,23,1,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,14,0,0,0,0
"hsa-miR-3912-5p hsa-mir-3912",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3913-5p hsa-mir-3913-1",44,11,43,0,0,0,0,0,36,0,0,0,0,8,0,33,0,9,0,50,0,1,9,0,0,9,0,0,60,20,0,0,68,24,0,23,0,11,15,0,0,33,24
"hsa-miR-3913-5p hsa-mir-3913-2",44,11,43,0,0,0,0,0,36,0,0,0,0,8,0,33,0,9,0,50,0,1,9,0,0,9,0,0,60,20,0,0,68,24,0,23,0,11,15,0,0,33,24
"hsa-miR-3915 hsa-mir-3915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3916 hsa-mir-3916",0,0,0,0,12,0,38,0,0,0,0,0,0,0,35,2,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"hsa-miR-3918 hsa-mir-3918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3922-5p hsa-mir-3922",8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3925-5p hsa-mir-3925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3926 hsa-mir-3926-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3926 hsa-mir-3926-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3927-5p hsa-mir-3927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3928-5p hsa-mir-3928",6,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,33,19,0,0,9,0,13,0,0,14,0,0,0,0,0,0,19,0,12,15,0,0,0,55
"hsa-miR-3928-3p hsa-mir-3928",34,0,17,0,0,0,1,26,19,24,0,0,14,0,31,0,0,20,0,58,49,27,0,20,10,13,0,0,14,0,0,0,0,41,0,85,1,14,7,0,0,36,2
"hsa-miR-3929 hsa-mir-3929",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-3934-5p hsa-mir-3934",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"hsa-miR-3940-5p hsa-mir-3940",0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,26,0,17,0,13,0,8,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3
"hsa-miR-3942-5p hsa-mir-3942",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
